userk.gold_is_dust.perkname,Gold Is Dust,,,,,,,,,,,,,
userk.gold_is_dust.perkdesc,Gold nuggets decay into dust.,,,,,,,,,,,,,
userk.spells_materialised.perkname,Spells Materialised,,,,,,,,,,,,,
userk.spells_materialised.perkdesc,Spells can be held in the ITEMS space in inventory and used like throwable items.,,,,,,,,,,,,,
userk.extra_mana.perkdesc,"Your currently held wand loses some of its capacity, but gains more mana.",,,,,,,,,,,,,
userk.bloody_gold.material,bloody gold,,,,,,,,,,,,,
userk.statusname.fireball_thrower,Fireball Thrower,,,,Feuerballwerfer,,,,火球发射器,火の玉スローワー,화염구 투석,,,
userk.statusdesc.fireball_thrower,Your being spews an endless stream of fiery projectiles.,,,,,,,,,,,,,
userk.statusname.lightning_thrower,Lightning Thrower,,Tempestade,Lanzarrayos,Blitzwerfer,,Lanciafulmine,,闪电发射器,稲妻スローワー,번개 투척기,,,
userk.statusdesc.lightning_thrower,Your being spews an endless stream of thunderous bolts.,,,,,,,,,,,,,
userk.statusdesc.tentacler,Your being spews an endless stream of eldritch tendrils.,,,,,,,,,,,,,
userk.statusdesc.venomous_curse,A vicious curse gnaws away at you.,,,,,,,,,,,,,
userk.statusname.necromancy,Restless,,,,,,,,,,,,,
userk.statusdesc.necromancy,You feel as though your body can go on without you.,,,,,,,,,,,,,
userk.statusname.gravity_field,Gravity Field,,,,,,,,,,,,,
userk.statusdesc.gravity_field,Your being is drawing in nearby projectiles.,,,,,,,,,,,,,
userk.statusname.meat_curse,Meat Curse,,,,,,,,,,,,,
userk.statusdesc.meat_curse,Your wounds refuse to heal.,,,,,,,,,,,,,
userk.statusname.polymorph,Polymorph,,,,,,,,,,,,,
userk.statusdesc.polymorph,You have become something fluffy.,,,,,,,,,,,,,
userk.statusname.unstable_polymorph,Unstable Polymorph,,,,,,,,,,,,,
userk.statusdesc.unstable_polymorph,You have become something unexpected.,,,,,,,,,,,,,
userk.statusname.chaotic_polymorph,Chaotic Polymorph,,,,,,,,,,,,,
userk.statusdesc.chaotic_polymorph,You have become something bizarre.,,,,,,,,,,,,,
userk.statusname.rare_polymorph,Exotic Polymorph,,,,,,,,,,,,,
userk.statusdesc.rare_polymorph,You have become something exceptionally rare.,,,,,,,,,,,,,
userk.statusname.cessated,Cessated,,,,,,,,,,,,,
userk.statusdesc.cessated,You have ceased to be.,,,,,,,,,,,,,
userk.wand_whisperer.perkname,Wand Whisperer,,,,,,,,,,,,,
userk.wand_whisperer.perkdesc,Wands are charmed by your presence and give their blessing to tinker with them everywhere.,,,,,,,,,,,,,
userk.switch_teams.perkname,Switch Teams,,,,,,,,,,,,,
userk.switch_teams.perkdesc,Ally yourself with a random faction.,,,,,,,,,,,,,
userk.switch_teams.herd.slimes,Slimes,,,,,,,,,,,,,
userk.switch_teams.herd.robot,Robots,,,,,,,,,,,,,
userk.switch_teams.herd.fungus,Fungi,,,,,,,,,,,,,
userk.switch_teams.herd.orcs,Hiidet,,,,,,,,,,,,,
userk.switch_teams.herd.mage,Mages,,,,,,,,,,,,,
userk.switch_teams.herd.ghost,Ghosts,,,,,,,,,,,,,
userk.switch_teams.herd.ant,Ants,,,,,,,,,,,,Only if Apotheosis is enabled,
userk.switch_teams.log_title,Your spirit is realigned,,,,,,,,,,,,,
userk.switch_teams.log_desc,You find yourself spiritually in tune with the $0 of the world...,,,,,,,,,,,,,
userk.switch_teams.log,Joined team $0,,,,,,,,,,,,,
